Company,Status,Latitude,Longitude
Digital Realty,Location Unconfirmed,38.9943665,-77.447284
Digital Realty,Location Unconfirmed,38.9923401,-77.4338906
Digital Realty,Location Unconfirmed,38.9931644,-77.4337394
Digital Realty,Existing,39.0020327,-77.4783977
Digital Realty,Existing,39.0013719,-77.4762066
Digital Realty,Existing,39.0079337,-77.4676701
Digital Realty,Existing,39.00815,-77.467618
Digital Realty,Existing,39.0151364,-77.4667792
Digital Realty,Existing,39.0144465,-77.4656792
Digital Realty,Existing,39.0125461,-77.4653059
Digital Realty,Existing,39.0175431,-77.4651778
Digital Realty,Existing,39.0072244,-77.4647555
Digital Realty,Existing,39.0210668,-77.4636185
Digital Realty,Existing,39.0201394,-77.4631903
Digital Realty,Existing,39.0178188,-77.4624832
Digital Realty,Existing,39.0210079,-77.4598642
Digital Realty,Existing,39.019943,-77.4598465
Digital Realty,Existing,39.0092646,-77.4572227
Digital Realty,Existing,39.0018592,-77.4516213
Digital Realty,Existing,39.0050078,-77.4501525
Digital Realty,Existing,39.0036243,-77.4870718
Digital Realty,Existing,39.0041897,-77.4841203
Digital Realty,Existing,39.0031484,-77.4816649
Digital Realty,Existing,39.0020063,-77.4784295
Dulles Trade Center West,Existing,38.9534063,-77.5249169
Equinix,Existing,39.0161099,-77.5052361
Equinix,Existing,39.0126601,-77.4749107
Equinix,Existing,39.0164848,-77.4619615
Equinix,Existing,39.0219927,-77.4608979
Equinix,Existing,39.0159457,-77.4608159
Equinix,Existing,39.0158327,-77.4598682
Equinix,Existing,39.0162421,-77.459248
Equinix,Existing,39.015023,-77.4586097
Equinix,Existing,39.0119725,-77.4541503
Equinix,In Construction,39.0252769,-77.4532489
Equinix,Existing,39.013868,-77.453943
Equinix,Existing,39.0199765,-77.4536372
Equinix,Existing,39.0249174,-77.4534089
Equinix,Existing,39.0240028,-77.4525393
Equinix,Existing,39.0212474,-77.4517833
Equinix,Existing,39.0233174,-77.4503561
Fedex,Location Unconfirmed,39.058417,-77.5497575
Google,Existing,39.0503235,-77.5396419
Google,Existing,38.9430159,-77.5242442
Google,Existing,38.9436531,-77.5241165
ICOV II SHAW ROAD OWNER LLC,Existing,38.9818948,-77.4222349
Google,Location Unconfirmed,39.054501,-77.5473103
Google,Location Unconfirmed,39.0516523,-77.5445303
Google,Location Unconfirmed,39.0522292,-77.5415682
Inova,Existing,39.0250071,-77.4178165
Google,Location Unconfirmed,39.0489339,-77.5382791
Google,Location Unconfirmed,38.9519591,-77.5341395
MARC SOLOMON,Existing,39.0665229,-77.4789025
NeuStar,Existing,39.0296925,-77.4087614
Google,Location Unconfirmed,38.9450533,-77.5229652
NeuStar,Existing,39.0292062,-77.4086855
NTT Global Data Centers,Existing,39.0180732,-77.5037036
NTT Global Data Centers,Existing,39.0158154,-77.4718092
NTT Global Data Centers,Existing,39.0158154,-77.4718092
NTT Global Data Centers,Existing,39.0179176,-77.4708557
NTT Global Data Centers,Existing,39.0179176,-77.4708557
NTT Global Data Centers,Existing,39.0191696,-77.4631172
NTT Global Data Centers,Existing,39.0221462,-77.4554199
NTT Global Data Centers,Existing,39.0227644,-77.4549655
Paragon Park Lot 3B,Existing,39.0175979,-77.4383636
PointOne LLC,Existing,39.0197888,-77.4284401
"JK LAND HOLDINGS II LLC & GOELLER, KEVIN & GOELLER, RYAN",Proposed,39.0259719,-77.4237559
"Kuhn, Charles C/JK Holdings II LLC",Location Unconfirmed,39.0614973,-77.5651966
PowerHouse Data Centers,Existing,39.004783,-77.446697
PowerHouse Data Centers,Existing,39.0053395,-77.4454583
Prologis,Existing,38.9566955,-77.5006713
Prologis,Existing,38.9615288,-77.4983095
Prologis,Existing,38.9558289,-77.4971738
Prologis,Existing,38.9900168,-77.4442569
Prologis,Existing,38.9777348,-77.4428044
ME-DC Pacific,Location Unconfirmed,39.0009785,-77.4450916
MERCURE BUSINESS PARK LOT 22,Location Unconfirmed,38.9875953,-77.4768788
Prologis,Existing,38.9806652,-77.4413994
Prologis,Existing,38.9870206,-77.4380954
Prologis,Existing,38.9875815,-77.418026
QTS Data Centers,Existing,38.9988904,-77.4759475
QTS Data Centers,Existing,38.999678,-77.474973
QTS Data Centers,Existing,38.995139,-77.456795
QTS Data Centers,Existing,38.9994621,-77.449356
QTS Data Centers,Existing,38.9942906,-77.4478098
Sabey Data Centers,Existing,39.0154261,-77.4782831
Microsoft,Location Unconfirmed,38.9496073,-77.5621667
Sabey Data Centers,Existing,39.014553,-77.478277
SCOREBOARD LANDCO BORROWER LLC,Existing,39.0267808,-77.4442625
Microsoft,Location Unconfirmed,38.9519873,-77.5587961
Microsoft,Location Unconfirmed,38.9493215,-77.5566445
Microsoft,Location Unconfirmed,38.9512769,-77.5555573
Microsoft,Location Unconfirmed,38.9512769,-77.5555573
Microsoft,Location Unconfirmed,38.9491338,-77.5554189
Microsoft,Location Unconfirmed,39.012905,-77.4717031
STACK Infrastructure,Existing,39.0049209,-77.4419095
STACK Infrastructure,Existing,39.0046301,-77.4417806
TA Realty,Existing,39.0265194,-77.4121889
The George Washington University,Existing,39.054826,-77.4441547
True North Data Solutions,Existing,39.0448241,-77.5396887
Unknown,Existing,39.0620724,-77.4686725
Northwoods Property,Location Unconfirmed,38.9794459,-77.4932896
Unknown,Existing,39.020901,-77.459831
Unknown,Existing,38.9946174,-77.444375
NTT Global Data Centers,Location Unconfirmed,39.013112,-77.4789143
NTT Global Data Centers,Location Unconfirmed,39.0236164,-77.4776759
NTT Global Data Centers,Location Unconfirmed,39.0181032,-77.4769727
NTT Global Data Centers,Proposed,39.0201893,-77.4755611
Unknown,Existing,38.9802351,-77.4434735
Unknown,Existing,38.9893344,-77.4422819
Unknown,Existing,39.0239067,-77.4152049
Vantage Data Centers,Existing,39.0017906,-77.4385283
Vantage Data Centers,Existing,39.0023976,-77.4376971
Vantage Data Centers,Existing,38.997535,-77.4303869
Vantage Data Centers,Existing,39.0007001,-77.4397339
Oppidan,Location Unconfirmed,38.9918045,-77.4158021
VeriSign,Existing,38.9973791,-77.4441301
Verizon,Existing,39.0118,-77.4731524
PDCREF 2 Chantilly,Location Unconfirmed,38.9125348,-77.4752446
Visa,Existing,39.0503122,-77.4456333
Visa,Existing,39.0487466,-77.4454221
"Zayo Group, LLC",Existing,39.0158838,-77.4831897
PowerHouse Data Centers,Location Unconfirmed,38.9411077,-77.5393283
PowerHouse Data Centers,Location Unconfirmed,38.9945492,-77.4869515
Prologis,Location Unconfirmed,38.9539125,-77.4943034
Prologis,Location Unconfirmed,38.976904,-77.4418941
Prologis,Location Unconfirmed,38.9880162,-77.4397887
QTS Data Centers,Location Unconfirmed,38.9945492,-77.4869515
QTS Data Centers,In Construction,38.999678,-77.474973
QTS Data Centers,Location Unconfirmed,38.995139,-77.456795
QTS Data Centers,Location Unconfirmed,38.9947388,-77.4565394
QTS Data Centers,Location Unconfirmed,38.9967715,-77.452621
QTS Data Centers,Location Unconfirmed,39.0016497,-77.4490129
QTS Data Centers,Location Unconfirmed,38.9983237,-77.4484827
Sabey Data Centers,Location Unconfirmed,39.0137768,-77.4802801
Sabey Data Centers,Location Unconfirmed,39.013112,-77.4789143
Sabey Data Centers,In Construction,39.0141331,-77.4753986
Sabey Data Centers,In Construction,39.0140964,-77.4753652
SBP HUB,Location Unconfirmed,39.0566951,-77.5424686
Sentinel Data Centers,Location Unconfirmed,39.0005816,-77.4431662
STACK Infrastructure,Location Unconfirmed,39.0203226,-77.5766763
STACK Infrastructure,Location Unconfirmed,39.0203093,-77.5762117
STACK Infrastructure,Location Unconfirmed,39.0003412,-77.4608599
STACK Infrastructure,Proposed,39.0016597,-77.4608402
STACK Infrastructure,Location Unconfirmed,38.9997621,-77.4592241
STONE SPRINGS LLC,Proposed,38.9462397,-77.540896
True North Data Solutions,Location Unconfirmed,39.0425835,-77.5389498
Unknown,Location Unconfirmed,39.033162,-77.4520452
Unknown,Location Unconfirmed,38.9497982,-77.5627709
Unknown,Location Unconfirmed,38.9493215,-77.5566445
Unknown,Location Unconfirmed,38.9452507,-77.5490912
Unknown,Location Unconfirmed,38.9641496,-77.5408453
Unknown,Location Unconfirmed,39.047461,-77.532514
Unknown,Location Unconfirmed,39.0758645,-77.5012611
Unknown,Location Unconfirmed,39.0027626,-77.4890732
Unknown,Location Unconfirmed,38.9971995,-77.4595083
Unknown,Location Unconfirmed,39.0019959,-77.459323
Unknown,Location Unconfirmed,39.0192366,-77.4579038
Unknown,Location Unconfirmed,39.0161897,-77.4552021
Unknown,Proposed,38.9950527,-77.4460606
Unknown,Location Unconfirmed,39.000252,-77.4347892
