Company,Project,Partner ,Watershed,Category,Date,Gallons,X,Y,gal_num
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2023-12,1794,39.0184955,-77.4388832,1794.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-01,2409,39.0184955,-77.4388832,2409.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-02,2079,39.0184955,-77.4388832,2079.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-03,1697,39.0184955,-77.4388832,1697.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-04,830,39.0184955,-77.4388832,830.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-05,128,39.0184955,-77.4388832,128.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-06,223,39.0184955,-77.4388832,223.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-07,578,39.0184955,-77.4388832,578.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-08,7130,39.0184955,-77.4388832,7130.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-09,1458,39.0184955,-77.4388832,1458.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-10,252,39.0184955,-77.4388832,252.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-11,408,39.0184955,-77.4388832,408.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2024-12,668,39.0184955,-77.4388832,668.0
Amazon,21660 CHARLES VIEW DR  STERLING 20166,Loudoun County -Central System ,Middle Potomac-Catoctin Basin,Recycled Water,2025-01,1319,39.0184955,-77.4388832,1319.0
